zip_code,drive_min,distance_mi
95436,82.8,61.5
94588,62.9,42.1
94556,44.8,25.9
94572,25.4,14.8
94015,44.6,28.9
94618,25.2,15.3
94118,41.3,22.4
95391,78.6,63.5
95616,73.6,60.8
94131,40.3,22.2
94085,71.2,56.0
94060,108.2,72.5
94022,77.8,61.5
94040,76.0,58.5
94087,78.8,58.2
94114,37.7,21.3
94123,38.5,21.2
94508,81.7,61.6
94515,104.1,72.2
95070,88.8,68.0
94535,64.3,44.7
94579,40.1,26.7
94925,24.9,11.1
94595,41.4,27.4
94901,23.2,11.5
95822,98.0,81.0
94924,62.7,32.4
94956,67.1,32.2
95124,78.2,62.0
